is_coarse,dose,risk,distance,threshold,randomangle
FALSE,0.03490189398988679,1.2215661919410583e-7,6.6,1,close
FALSE,0.033842341062762286,1.1844818424212086e-7,6.7,1,close
FALSE,0.03429128659397605,1.2001949325763616e-7,6.8,1,close
FALSE,0.03377185283285334,1.1820147554428276e-7,6.9,1,close
FALSE,0.03251985422227432,1.1381948117274843e-7,7,1,close
FALSE,0.03062827437223978,1.07198952570161e-7,7.1,1,close
FALSE,0.03018835516014065,1.0565923559876783e-7,7.2,1,close
FALSE,0.030046754898948456,1.0516363471010434e-7,7.3,1,close
FALSE,0.028647005988822964,1.0026451420474148e-7,7.4,1,close
FALSE,0.02701708541296234,9.455979301244359e-8,7.5,1,close
FALSE,0.027519413314000336,9.631794028341395e-8,7.6,1,close
FALSE,0.026998172196409508,9.449359671171218e-8,7.7,1,close
FALSE,0.025875776079181966,9.056521095835972e-8,7.8,1,close
FALSE,0.025108775717120398,8.788070977852386e-8,7.9,1,close
FALSE,0.02445299852652433,8.55854898746013e-8,8,1,close
FALSE,0.02326473305715867,8.14265613397602e-8,8.1,1,close
FALSE,0.02334436480160979,8.170527224138755e-8,8.2,1,close
FALSE,0.02297545976009202,8.041410474870326e-8,8.3,1,close
FALSE,0.022374412799785352,7.831044073864547e-8,8.4,1,close
FALSE,0.021534252498978487,7.536987989898405e-8,8.5,1,close
FALSE,0.02141866046986846,7.496530792601009e-8,8.6,1,close
FALSE,0.02063036828998361,7.220628548725321e-8,8.7,1,close
FALSE,0.02004957062728231,7.017349390279412e-8,8.8,1,close
FALSE,0.019931014725238297,6.975854827402548e-8,8.9,1,close
FALSE,0.019755239104651275,6.914333369977945e-8,9,1,close
FALSE,0.018479811449314612,6.467933723643233e-8,9.1,1,close
FALSE,0.018231689485965992,6.381091049989496e-8,9.2,1,close
FALSE,0.01839912844175873,6.43969468057918e-8,9.3,1,close
FALSE,0.017755256587598345,6.214339549444919e-8,9.4,1,close
FALSE,0.017730147171063634,6.205551257112066e-8,9.5,1,close
FALSE,0.01678137786140997,5.873482021548175e-8,9.6,1,close
FALSE,0.016744907531994667,5.86071740363251e-8,9.700000000000001,1,close
FALSE,0.016712021679987664,5.849207362590278e-8,9.8,1,close
FALSE,0.015876205742226757,5.556671805788802e-8,9.9,1,close
FALSE,0.015818777209562474,5.5365718219429063e-08,10,1,close
FALSE,156.79203857056356,5.485711610553456e-4,0.1,1,far
FALSE,39.43655583444216,1.3801510081025995e-4,0.2,1,far
FALSE,17.672961858606012,6.185284363462218e-5,0.30000000000000004,1,far
FALSE,9.861970726515265,3.451609091644808e-5,0.4,1,far
FALSE,6.34576145895334,2.220983745440471e-5,0.5,1,far
FALSE,4.351818730108038,1.5231209644090532e-5,0.6,1,far
FALSE,3.179644341098879,1.1128671142059394e-5,0.7000000000000001,1,far
FALSE,2.413086521708749,8.445755457442652e-6,0.8,1,far
FALSE,1.9409802956703957,6.793400314083265e-6,0.9,1,far
FALSE,1.5501175910291294,5.425392420849784e-6,1,1,far
FALSE,0.01709997917129038,5.984982933164012e-8,1.1,1,far
FALSE,0.009418121467226735,3.296339037166218e-8,1.2000000000000002,1,far
FALSE,0.0074151183360625945,2.595287650317491e-8,1.3000000000000003,1,far
FALSE,0.007448539318162629,2.6069866386139773e-8,1.4000000000000001,1,far
FALSE,0.0060730390855188955,2.1255626416889915e-8,1.5000000000000002,1,far
FALSE,0.002426774638866835,8.493708890068884e-9,1.6,1,far
FALSE,0.003957536785155087,1.3851373852374493e-8,1.7000000000000002,1,far
FALSE,0.0037050491136752556,1.2967667337838587e-8,1.8000000000000003,1,far
FALSE,0.004981031209896059,1.743360022443903e-8,1.9000000000000001,1,far
FALSE,0.0026099737117228983,9.13490535543247e-9,2,1,far
FALSE,0.004347418984463856,1.5215957320262385e-8,2.1,1,far
FALSE,0.002898512810536386,1.0144791925063264e-8,2.2,1,far
FALSE,0.0015996588264397212,5.598804782540189e-9,2.3000000000000003,1,far
FALSE,0.0016149817869511674,5.652434926113546e-9,2.4000000000000004,1,far
FALSE,0.002007515391249467,7.0263027809408216e-9,2.5000000000000004,1,far
FALSE,0.001896851351880435,6.638978218658954e-9,2.6,1,far
FALSE,0.0025153154794540613,8.80360140986159e-9,2.7,1,far
FALSE,0.002137992761027069,7.482973092324604e-9,2.8000000000000003,1,far
FALSE,0.001548735232918912,5.420572574432007e-9,2.9000000000000004,1,far
FALSE,0.0014179002060890305,4.962649938244329e-9,3.0000000000000004,1,far
FALSE,0.0015932057786535476,5.576218398204279e-9,3.1,1,far
FALSE,7.899113038616829e-4,2.7646893166003218e-9,3.2,1,far
FALSE,0.0011551797088074577,4.043128391809132e-9,3.3000000000000003,1,far
FALSE,9.242448533177962e-4,3.2348567256813887e-9,3.4000000000000004,1,far
FALSE,9.942935445521187e-4,3.4800269305023776e-9,3.5000000000000004,1,far
FALSE,0.0013585750867668596,4.755012036994894e-9,3.6,1,far
FALSE,0.0014168492754224435,4.9589718499465104e-9,3.7,1,far
FALSE,9.591255371481178e-4,3.3569386811853243e-9,3.8000000000000003,1,far
FALSE,8.245102855734184e-4,2.8857855949483386e-9,3.9000000000000004,1,far
FALSE,7.953917417386377e-4,2.783870918561146e-9,4,1,far
FALSE,7.032122367457577e-4,2.461242578492814e-9,4.1,1,far
FALSE,7.654215563840182e-4,2.6789752088289262e-9,4.2,1,far
FALSE,8.836691432151988e-4,3.0928416615247865e-9,4.3,1,far
FALSE,5.155451189367027e-4,1.804407778814915e-9,4.3999999999999995,1,far
FALSE,6.342329983580215e-4,2.219815329533473e-9,4.5,1,far
FALSE,6.253336829827099e-4,2.1886677579413964e-9,4.6,1,far
FALSE,7.012117198718993e-4,2.454240855547103e-9,4.7,1,far
FALSE,6.868636344924309e-4,2.404022575834736e-9,4.8,1,far
FALSE,5.020355605367992e-4,1.7571243863176719e-9,4.9,1,far
FALSE,3.883754756154646e-4,1.359314081195659e-9,5,1,far
FALSE,5.649278016116533e-4,1.9772472287167648e-9,5.1,1,far
FALSE,4.7249050188215817e-4,1.6537166629722928e-9,5.2,1,far
FALSE,3.58470754641298e-4,1.2546475933739033e-9,5.3,1,far
FALSE,3.901853586301585e-4,1.3656486701901781e-9,5.4,1,far
FALSE,3.772223523670234e-4,1.3202781855826429e-9,5.5,1,far
FALSE,6.823949985008497e-4,2.3883823745115254e-9,5.6,1,far
FALSE,3.250082190795957e-4,1.1375287168582057e-9,5.7,1,far
FALSE,3.3302159732171663e-4,1.1655755062607748e-9,5.8,1,far
FALSE,4.125513701210899e-4,1.443929735038078e-9,5.9,1,far
FALSE,2.972392485644981e-4,1.040337321502819e-9,6,1,far
FALSE,2.7085736110900267e-4,9.480007422521535e-10,6.1,1,far
FALSE,4.270689399782088e-4,1.494741226717065e-9,6.2,1,far
FALSE,3.4043766904774426e-4,1.1915317971938138e-9,6.3,1,far
FALSE,2.3489931160308847e-4,8.221475671352485e-10,6.4,1,far
FALSE,4.164036754782373e-4,1.457412804999455e-9,6.5,1,far
FALSE,2.2378638368045317e-4,7.832523266796885e-10,6.6,1,far
FALSE,2.7860777539372487e-4,9.751271878682923e-10,6.7,1,far
FALSE,2.913910291077493e-4,1.0198685730130833e-9,6.8,1,far
FALSE,2.5035113983482655e-4,8.762289727567236e-10,6.9,1,far
FALSE,2.5221284053345916e-4,8.827449211274453e-10,7,1,far
FALSE,1.8171008882989252e-4,6.359852942053239e-10,7.1,1,far
FALSE,3.281177406884878e-4,1.1484120344568718e-9,7.2,1,far
FALSE,2.3071309514786513e-4,8.074958151809924e-10,7.3,1,far
FALSE,1.952569428780725e-4,6.833992869664374e-10,7.4,1,far
FALSE,1.5942772052879542e-4,5.57997012606566e-10,7.5,1,far
FALSE,2.2508981640464063e-4,7.878143344613806e-10,7.6,1,far
FALSE,2.45214593073934e-4,8.582510504878711e-10,7.7,1,far
FALSE,1.5646717626869835e-4,5.476351094668935e-10,7.8,1,far
FALSE,1.4564969832210793e-4,5.097739342615502e-10,7.9,1,far
FALSE,1.9075070542554773e-4,6.676274515659801e-10,8,1,far
FALSE,1.622840582321405e-4,5.679941918067378e-10,8.1,1,far
FALSE,1.455600411258795e-4,5.09460136331478e-10,8.2,1,far
FALSE,1.292603086336592e-4,4.5241107356272387e-10,8.3,1,far
FALSE,2.1628675955257732e-4,7.570036444130426e-10,8.4,1,far
FALSE,2.4267929071000323e-4,8.493775025769788e-10,8.5,1,far
FALSE,1.6106935595526004e-4,5.637427369857835e-10,8.6,1,far
FALSE,2.0832229729425198e-4,7.291280216847231e-10,8.7,1,far
FALSE,1.383103910143492e-4,4.840863613762255e-10,8.8,1,far
FALSE,1.0945315986486405e-4,3.8308605412419515e-10,8.9,1,far
FALSE,1.23439497727469e-4,4.320382361885811e-10,9,1,far
FALSE,2.0182866371857192e-4,7.064002972225843e-10,9.1,1,far
FALSE,1.5269652766096954e-4,5.344378384732458e-10,9.2,1,far
FALSE,1.6116124440935305e-4,5.640643442591646e-10,9.3,1,far
FALSE,1.629325709223679e-4,5.702639866346989e-10,9.4,1,far
FALSE,1.3732019514994665e-4,4.806206747963042e-10,9.5,1,far
FALSE,1.3697716024436515e-4,4.79420052034224e-10,9.6,1,far
FALSE,1.2796266565895896e-4,4.478693221815736e-10,9.700000000000001,1,far
FALSE,1.2283767992025046e-4,4.299318739786861e-10,9.8,1,far
FALSE,1.3032122648424865e-4,4.5612428572261225e-10,9.9,1,far
FALSE,1.7589484253734773e-4,6.156319344971455e-10,10,1,far
