is_coarse,dose,risk,distance,threshold,randomangle
TRUE,1.1602363942736846,4.060268290888881e-6,0.1,1,close
TRUE,0.3302348839536771,1.1557765921389193e-6,0.2,1,close
TRUE,0.05429616311461474,1.9003525078893345e-7,0.5,1,close
TRUE,0.01423130989729898,4.9809511080914874e-8,1,1,close
TRUE,1.5747709918377526,5.511678078827662e-6,1.0001,1,close
TRUE,0.7010797625774277,2.453775105739996e-6,1.5,1,close
TRUE,0.39429560622963455,1.3800333443992979e-6,2,1,close
TRUE,0.255534688580815,8.943708770209606e-7,2.5,1,close
TRUE,0.1748037069196727,6.11812721605766e-7,3,1,close
TRUE,0.12741854653627524,4.459647776862891e-7,3.5,1,close
TRUE,0.09829340035422804,3.4402682181403445e-7,4,1,close
TRUE,0.0782810817159989,2.739837363204957e-7,4.5,1,close
TRUE,0.06274105454680795,2.1959365872427977e-7,5,1,close
TRUE,157.33616798608182,5.504740568510298e-4,0.1,1,far
TRUE,39.10144313118446,1.368425149084067e-4,0.2,1,far
TRUE,6.274262330701943,2.1959597866468133e-5,0.5,1,far
TRUE,1.5583565848541003,5.454228132305095e-6,1,1,far
TRUE,0.015904357155516108,5.566515181322548e-8,1.0001,1,far
TRUE,0.006472641851079149,2.2654230757524325e-8,1.5,1,far
TRUE,0.002877462592237862,1.0071115275950026e-8,2,1,far
TRUE,0.002085186456690267,7.298150545781433e-9,2.5,1,far
TRUE,0.0015015787042187271,5.255524489103529e-9,3,1,far
TRUE,0.0011680689599733063,4.088240762334666e-9,3.5,1,far
TRUE,8.033995906124601e-4,2.8118982955407455e-9,4,1,far
TRUE,6.710455446807375e-4,2.348659225957875e-9,4.5,1,far
TRUE,4.859104043075291e-4,1.7006863017124559e-9,5,1,far
FALSE,1.1686945632837153,4.089751165532438e-6,0.1,1,close
FALSE,0.4642585822090701,1.6247836387991608e-6,0.2,1,close
FALSE,0.15978749231283285,5.592455019845987e-7,0.30000000000000004,1,close
FALSE,0.11556625005401862,4.044744317798623e-7,0.4,1,close
FALSE,0.04373561577054812,1.5307400078862548e-7,0.5,1,close
FALSE,0.034380907086070375,1.203327214127022e-7,0.6,1,close
FALSE,0.01612969809879741,5.6453802191067704e-8,0.7000000000000001,1,close
FALSE,0.015532842479138262,5.436483488261658e-8,0.8,1,close
FALSE,0.011278284027137772,3.9473947115015745e-8,0.9,1,close
FALSE,0.011811829952042288,4.134136665874728e-8,1,1,close
FALSE,1.313492007840778,4.597207944551583e-6,1.1,1,close
FALSE,1.0757503084350706,3.7651169395312878e-6,1.2000000000000002,1,close
FALSE,0.9547294892250255,3.3415456557483873e-6,1.3000000000000003,1,close
FALSE,0.7921257631412082,2.7724350709133496e-6,1.4000000000000001,1,close
