44,65,1
47,63,1
44,65,2
47,63,2
57,63,2
44,66,3
47,63,3
57,63,3
47,63,4
21,60,5
21,79,5
44,66,5
47,57,5
47,63,5
60,79,5
2,9,6
2,17,6
9,17,6
21,60,6
21,79,6
47,57,6
47,63,6
60,79,6
9,17,7
9,45,7
21,79,7
26,31,7
26,63,7
45,67,7
47,63,7
2,9,8
2,17,8
2,21,8
9,17,8
9,45,8
21,79,8
26,31,8
45,67,8
9,17,9
21,61,9
21,79,9
26,31,9
2,9,10
2,17,10
9,17,10
19,41,10
21,61,10
21,79,10
26,31,10
61,79,10
2,9,11
2,17,11
19,41,11
26,31,11
2,9,12
2,17,12
9,17,12
26,31,12
2,9,13
2,17,13
9,17,13
19,41,13
26,31,13
2,9,14
2,17,14
7,15,14
9,17,14
19,41,14
2,9,15
2,17,15
7,15,15
9,17,15
7,15,16
7,15,17
7,15,18
23,34,20
28,39,20
32,36,20
32,73,20
36,48,20
36,73,20
39,50,20
48,73,20
23,34,21
32,36,21
32,52,21
32,73,21
34,73,21
36,48,21
36,73,21
48,73,21
23,34,22
32,36,22
48,73,22
53,77,22
11,12,23
11,30,23
12,30,23
23,34,23
23,48,23
23,73,23
32,36,23
34,48,23
34,73,23
48,73,23
53,77,23
11,30,24
11,37,24
12,30,24
23,34,24
23,48,24
30,37,24
34,48,24
34,73,24
48,53,24
48,73,24
48,77,24
53,73,24
53,77,24
1,46,25
1,71,25
1,72,25
4,5,25
4,6,25
4,13,25
4,54,25
4,70,25
5,6,25
5,70,25
6,13,25
6,51,25
6,70,25
11,30,25
11,37,25
12,30,25
13,62,25
13,70,25
22,38,25
22,62,25
27,75,25
30,37,25
38,62,25
38,68,25
38,80,25
46,58,25
46,71,25
51,54,25
51,62,25
54,62,25
62,68,25
62,80,25
68,80,25
1,4,26
1,27,26
1,46,26
1,58,26
1,59,26
1,71,26
1,72,26
4,5,26
4,6,26
4,13,26
4,27,26
4,38,26
4,69,26
4,70,26
5,6,26
5,13,26
5,38,26
5,58,26
5,59,26
6,13,26
6,22,26
6,70,26
6,80,26
11,30,26
11,37,26
13,38,26
13,70,26
20,42,26
22,38,26
27,46,26
27,58,26
27,71,26
27,72,26
27,76,26
30,37,26
38,46,26
38,58,26
38,59,26
46,58,26
46,59,26
46,62,26
46,69,26
46,71,26
46,75,26
51,54,26
51,58,26
51,72,26
58,62,26
58,71,26
58,72,26
59,69,26
62,68,26
62,75,26
62,78,26
62,80,26
68,80,26
71,72,26
78,80,26
1,46,27
1,58,27
1,62,27
1,71,27
1,72,27
4,5,27
4,6,27
4,13,27
4,70,27
5,6,27
5,13,27
5,38,27
5,70,27
6,13,27
6,69,27
6,70,27
6,78,27
11,12,27
11,30,27
11,37,27
12,37,27
20,42,27
22,38,27
22,78,27
27,46,27
27,72,27
27,76,27
30,37,27
46,58,27
46,71,27
51,54,27
56,75,27
58,71,27
58,72,27
59,69,27
62,68,27
62,71,27
62,72,27
62,80,27
68,71,27
68,72,27
68,80,27
69,72,27
71,72,27
71,80,27
72,80,27
4,5,28
4,6,28
4,13,28
4,70,28
5,6,28
5,13,28
5,70,28
5,75,28
6,13,28
6,70,28
11,30,28
11,37,28
12,30,28
13,70,28
14,20,28
14,33,28
14,74,28
20,33,28
20,42,28
20,74,28
22,38,28
22,74,28
29,35,28
30,37,28
33,74,28
51,54,28
56,75,28
59,69,28
70,75,28
3,43,29
11,30,29
11,37,29
12,30,29
14,20,29
14,33,29
14,74,29
20,74,29
29,35,29
30,37,29
33,74,29
35,78,29
51,54,29
56,75,29
3,43,30
8,24,30
11,37,30
14,20,30
14,33,30
14,74,30
20,33,30
20,51,30
20,74,30
29,35,30
30,37,30
33,74,30
51,54,30
56,75,30
3,43,31
11,37,31
12,30,31
12,37,31
29,35,31
30,37,31
43,51,31
51,54,31
3,43,32
8,24,32
8,51,32
10,16,32
10,40,32
10,49,32
10,64,32
11,12,32
11,30,32
11,37,32
12,30,32
12,37,32
16,40,32
16,64,32
18,49,32
18,64,32
24,51,32
29,35,32
30,37,32
40,64,32
49,64,32
51,54,32
3,43,33
8,24,33
10,64,33
16,64,33
29,35,33
51,54,33
3,29,34
3,35,34
3,43,34
10,16,34
10,64,34
16,49,34
16,64,34
25,55,34
29,35,34
29,43,34
35,43,34
3,29,35
3,35,35
10,16,35
10,25,35
10,40,35
10,55,35
10,64,35
16,40,35
16,64,35
25,55,35
25,64,35
29,35,35
55,64,35
10,16,36
10,49,36
10,55,36
10,64,36
16,64,36
18,55,36
18,64,36
25,55,36
25,64,36
55,64,36
10,16,37
10,25,37
10,64,37
16,64,37
18,64,37
25,49,37
25,55,37
25,64,37
49,64,37
16,25,38
16,49,38
16,55,38
16,64,38
25,49,38
25,55,38
25,64,38
49,55,38
49,64,38
55,64,38
